mpid	formula	family	N_atoms	structure	N_atoms2	max1	max2	dim	Bulk_Space	Bulk_Point	Centrosymmetric	Band_Gap	Formation_Energy	E_hull	Mono_Space	Centrosymmectric	Mono_Point
mp-28299	USe2O7	AcS2O7	40	1D or 2D	320	20	80	2	P-1	-1	TRUE	2.1387	-2.176476372	0	P1	FALSE	1
mp-8357	UTe3	AcS3	8	1D or 2D	64	8	32	2	P2_1/m	2/m	FALSE	0	-0.52124073	0	P2_1/m	FALSE	2/m
mp-9429	USe3	AcS3	8	1D or 2D	64	8	32	2	P2_1/m	2/m	FALSE	0	-0.924118476	0	P2_1/m	FALSE	2/m
mp-12406	US3	AcS3	8	1D or 2D	64	8	32	2	P2_1/m	2/m	FALSE	0	-1.100973389	0	P2_1/m	FALSE	2/m
mp-568948	UTe3	AcS3	8	1D or 2D	64	8	32	2	P2_1/m	2/m	FALSE	0	-0.521084603	0.000156128	P2_1/m	FALSE	2/m
mp-22231	UTe3	AcS3	8	1D or 2D	64	8	32	2	Cmcm	mmm	TRUE	0.0058	-0.519249535	0.001991195	Pmmn	TRUE	mmm
mp-651772	UTe5	AcS5	24	1D or 2D	192	12	48	2	Pna2_1	mm2	FALSE	0.0057	-0.332873719	0.015767645	P2_1	FALSE	2
mp-28500	UTe5	AcS5	24	1D or 2D	192	12	48	2	Pnma	mmm	TRUE	0.0095	-0.348641364	0	P2_1/m	FALSE	2/m
mp-3402	UTeN	AcSN	6	1D or 2D	48	6	24	2	P4/nmm	4/mmm	TRUE	0	-1.341888219	0	P4/nmm	TRUE	4/mmm
mp-504922	UPbO4	AcSnO4	24	1D or 2D	192	24	96	2	Pbcm	mmm	TRUE	1.5101	-2.984845907	0	Pbcm	TRUE	mmm
mp-3037	UTeO	AcSO	6	1D or 2D	48	6	24	2	P4/nmm	4/mmm	TRUE	0.0157	-2.26291079	0	P4/nmm	TRUE	4/mmm
mp-27723	USeO5	AcSO5	14	1D or 2D	112	14	56	2	P2_1/m	2/m	FALSE	1.7329	-2.575468441	0.016332279	P2_1/m	FALSE	2/m
mp-3516	UTeO5	AcSO5	28	1D or 2D	224	28	112	2	Pbcm	mmm	TRUE	1.8368	-2.716835897	0.00436772	Pbcm	TRUE	mmm
mp-104	Sb	As	2	1D or 2D	16	2	8	2	R-3m	-3m	TRUE	0.1208	0	0	R-3m	TRUE	-3m
mp-11	As	As	2	1D or 2D	16	2	8	2	R-3m	-3m	TRUE	0.3434	0	0	R-3m	TRUE	-3m
mp-158	As	As	4	1D or 2D	32	4	16	2	Cmce	mmm	FALSE	0.3791	0.02366599	0.02366599	Pmna	TRUE	mmm
mp-23152	Bi	As	2	1D or 2D	16	2	8	2	R-3m	-3m	TRUE	0.4619	0	0	R-3m	TRUE	-3m
mp-684426	Sb(PO3)4	As(NO3)4	68	1D or 2D	544	68	272	2	P2_1/c	2/m	FALSE	0.1614	-2.377541191	0.050406947	P2_1/c	FALSE	2/m
mp-684537	Sb(PO3)5	As(NO3)5	84	1D or 2D	672	84	336	2	P2_1/c	2/m	FALSE	3.1104	-2.312824305	0.084617669	P2_1/m	FALSE	2/m
mp-569822	Bi(W2Cl5)3	As(T2F5)3	88	1D or 2D	704	44	176	2	C2/c	2/m	TRUE	2.0045	-1.174055476	0	P-1	TRUE	-1
mp-679989	Bi(Mo2Cl5)3	As(T2F5)3	88	1D or 2D	704	44	176	2	C2/c	2/m	TRUE	2.1496	-1.335936218	0	P-1	TRUE	-1
mp-557619	Bi14Te13S8	As14S13S8	35	1D or 2D	280	35	140	2	R-3	-3	TRUE	0.5463	-0.280183363	0.013471243	R-3	TRUE	-3
mp-640862	Sb16Te3	As16S3	19	1D or 2D	152	5	20	2	R-3m	-3m	TRUE	0	-0.050942172	0		FALSE	
mp-28975	Bi2(PSe3)3	As2(NS3)3	56	1D or 2D	448	14	56	2	P2_1/c	2/m	FALSE	1.3081	-0.189293096	0	P1	FALSE	1
mp-569308	Bi2(PSe3)3	As2(NS3)3	56	1D or 2D	448	56	224	2	P-1	-1	TRUE	1.4152	-0.185177123	0.004115973	P-1	TRUE	-1
mp-27256	Sb2(S2O7)3	As2(S2O7)3	58	1D or 2D	464	58	232	2	P-1	-1	TRUE	4.1996	-1.728602353	0	P-1	TRUE	-1
mp-629690	Bi2(PbS2)3	As2(SnS2)3	22	1D or 2D	176	22	88	2	C2/m	2/m	TRUE	0.5275	-0.454808911	0.000106328	P2/m	TRUE	2/m
mp-30109	Sb2(AuF6)3	As2(TF6)3	46	1D or 2D	368	46	184	2	P2_1/c	2/m	FALSE	0.2163	-1.622350235	0	P2_1/c	FALSE	2/m
mp-707231	As2PHO6	As2NHO6	40	1D or 2D	320	20	80	2	P2_1/c	2/m	FALSE	4.2371	-1.90951781	0.044541527	P2_1	FALSE	2
mp-1581	As2O3	As2O3	20	1D or 2D	160	10	40	2	P2_1/c	2/m	FALSE	3.62	-1.641044066	0	P2_1	FALSE	2
mp-1582	As2O3	As2O3	20	1D or 2D	160	10	40	2	P2_1/c	2/m	FALSE	4.0252	-1.634504998	0.006539068	Pc	FALSE	m
mp-6997	Sb2Te	As2S	9	1D or 2D	72	5	20	2	P-3m1	-3m	TRUE	0.0542	-0.063516848	0.018529104	P-3m1	TRUE	-3m
mp-861911	Sb2S2O	As2S2O	10	1D or 2D	80	10	40	2	P-1	-1	TRUE	1.183	-0.752487583	0.00677407	P-1	TRUE	-1
mp-28711	Sb2S2O	As2S2O	20	1D or 2D	160	20	80	2	P-1	-1	TRUE	1.2374	-0.757752303	0.00150935	P-1	TRUE	-1
mp-3525	Sb2Te2Se	As2S2S	5	1D or 2D	40	5	20	2	R-3m	-3m	TRUE	0.336	-0.190528596	0	R-3m	TRUE	-3m
mp-29666	Bi2Te2Se	As2S2S	5	1D or 2D	40	5	20	2	R-3m	-3m	TRUE	0.5476	-0.305064008	0	R-3m	TRUE	-3m
mp-566831	Bi2Te2WO10	As2S2TO10	30	1D or 2D	240	30	120	2	C2/c	2/m	TRUE	2.9479	-1.783688556	0.000602341	P2/c	TRUE	2/m
mp-1201	Sb2Te3	As2S3	5	1D or 2D	40	5	20	2	R-3m	-3m	TRUE	0.2983	-0.129323698	0	R-3m	TRUE	-3m
