mpid	formula	family	N_atoms	structure	N_atoms2	max1	max2	dim	Bulk_Space	Bulk_Point	Centrosymmetric	Band_Gap	Formation_Energy	E_hull	Mono_Space	Centrosymmectric	Mono_Point
mp-626587	Al(HO)3	B(HO)3	56	1D or 2D	448	28	112	2	Pc	m	FALSE	4.8222	-2.095048734	0.041580983	P1	FALSE	1
mp-625739	Al(HO)3	B(HO)3	56	1D or 2D	448	28	112	2	P2_1/c	2/m	FALSE	4.8633	-2.095920948	0.040708769	P2_1/c	FALSE	2/m
mp-625774	Al(HO)3	B(HO)3	56	1D or 2D	448	28	112	2	P1	1	FALSE	4.8775	-2.089884153	0.046745564	P1	FALSE	1
mp-626654	Al(HO)3	B(HO)3	56	1D or 2D	448	28	112	2	P1	1	FALSE	4.8914	-2.067616142	0.069013575	P1	FALSE	1
mp-37836	Al(HO)3	B(HO)3	14	1D or 2D	112	14	56	2	P-1	-1	TRUE	4.9076	-2.105037833	0.031591884	P-1	TRUE	-1
mp-554883	Al(HO)3	B(HO)3	14	1D or 2D	112	14	56	2	P-1	-1	TRUE	4.9113	-2.106318701	0.030311015	P-1	TRUE	-1
mp-626103	Al(HO)3	B(HO)3	56	1D or 2D	448	28	112	2	P1	1	FALSE	4.9129	-2.105598914	0.031030803	P1	FALSE	1
mp-777738	Al(HO)3	B(HO)3	28	1D or 2D	224	28	112	2	P2_1/c	2/m	FALSE	4.9382	-2.098350101	0.038279616	P2_1/c	FALSE	2/m
mp-626431	Al(HO)3	B(HO)3	28	1D or 2D	224	28	112	2	P1	1	FALSE	4.9443	-2.097236841	0.039392875	P1	FALSE	1
mp-626435	Al(HO)3	B(HO)3	28	1D or 2D	224	28	112	2	P1	1	FALSE	4.9639	-2.113455569	0.023174148	P1	FALSE	1
mp-625316	Al(HO)3	B(HO)3	14	1D or 2D	112	14	56	2	P-1	-1	TRUE	4.9764	-2.097347343	0.039282374	P-1	TRUE	-1
mp-626502	Al(HO)3	B(HO)3	56	1D or 2D	448	28	112	2	P1	1	FALSE	4.9816	-2.110692065	0.025937652	P1	FALSE	1
mp-560572	Al(HO)3	B(HO)3	56	1D or 2D	448	28	112	2	P2_1/c	2/m	FALSE	4.9898	-2.109729366	0.02690035	P-1	TRUE	-1
mp-554002	Al(HO)3	B(HO)3	14	1D or 2D	112	14	56	2	P1	1	FALSE	4.996	-2.113865638	0.022764079	P1	FALSE	1
mp-27540	Al(HO)3	B(HO)3	56	1D or 2D	448	28	112	2	P2_1/c	2/m	FALSE	4.9963	-2.119940757	0.01668896	P-1	TRUE	-1
mp-626470	Al(HO)3	B(HO)3	56	1D or 2D	448	28	112	2	Pc	m	FALSE	5.0046	-2.113565097	0.02306462	P1	FALSE	1
mp-625318	Al(HO)3	B(HO)3	14	1D or 2D	112	14	56	2	P1	1	FALSE	5.0246	-2.104009999	0.032619718	P1	FALSE	1
mp-555462	Al(HO)3	B(HO)3	28	1D or 2D	224	28	112	2	P-1	-1	TRUE	5.0602	-2.098711949	0.037917768	P-1	TRUE	-1
mp-560196	Al(HO)3	B(HO)3	28	1D or 2D	224	28	112	2	P2_1/c	2/m	FALSE	5.2031	-2.106373274	0.030256443	P2_1/c	FALSE	2/m
mp-626496	Al(HO)3	B(HO)3	56	1D or 2D	448	28	112	2	P1	1	FALSE	5.6644	-2.112282217	0.0243475	P1	FALSE	1
mp-558068	Tl(MoO3)3	B(TO3)3	26	1D or 2D	208	26	104	2	C2/m	2/m	TRUE	0	-1.930065629	0.041956243	P2/m	TRUE	2/m
mp-686581	In2(PSe3)3	B2(NS3)3	56	1D or 2D	448	56	224	2	P-1	-1	TRUE	0.7303	-0.253552222	0	P-1	TRUE	-1
mp-27753	In2(PS3)3	B2(NS3)3	56	1D or 2D	448	56	224	2	P2_1/c	2/m	FALSE	1.4261	-0.363456622	0	P2_1/c	FALSE	2/m
mp-553909	Tl2(SeO3)3	B2(SO3)3	56	1D or 2D	448	28	112	2	P2_1/c	2/m	FALSE	2.1587	-1.219341289	0	P2_1	FALSE	2
mp-556231	In2GaBiS6	B2BAsS6	20	1D or 2D	160	20	80	2	P2_1/m	2/m	FALSE	1.7896	-0.538654932	0.003963608	P2_1/m	FALSE	2/m
mp-698132	Al2Si2H4O9	B2C2H4O9	34	1D or 2D	272	17	68	2	Cc	m	FALSE	4.9007	-2.652668402	0.020754874	P1	FALSE	1
mp-541152	Al2Si2H4O9	B2C2H4O9	34	1D or 2D	272	34	136	2	P1	1	FALSE	4.9053	-2.660658551	0.012764726	P1	FALSE	1
mp-721216	Al2Si2H4O9	B2C2H4O9	34	1D or 2D	272	17	68	2	Cc	m	FALSE	4.9329	-2.659862909	0.013560368	P1	FALSE	1
mp-695878	Al2Si2H4O9	B2C2H4O9	17	1D or 2D	136	17	68	2	P1	1	FALSE	4.9851	-2.659142786	0.014280491	P1	FALSE	1
mp-540818	Tl2Ge2Se5	B2C2S5	36	1D or 2D	288	18	72	2	C2/c	2/m	TRUE	1.4126	-0.35346836	0	C2	FALSE	2
mp-707135	Al2Si4O11	B2C4O11	17	1D or 2D	136	17	68	2	P-1	-1	TRUE	4.1738	-3.301930453	0.032818855	P-1	TRUE	-1
mp-560314	In2H10S3O17	B2H10S3O17	64	1D or 2D	512	64	256	2	P-1	-1	TRUE	4.0257	-1.694118393	0	P-1	TRUE	-1
mp-757796	Al2H10S3O17	B2H10S3O17	128	1D or 2D	1024	64	256	2	P2_1/c	2/m	FALSE	5.6867	-1.913123051	0.00128497	P-1	TRUE	-1
mp-551470	Tl2O	B2O	6	1D or 2D	48	3	12	2	C2/m	2/m	TRUE	0.5194	-0.823671164	0	Cm	FALSE	m
mp-27484	Tl2O	B2O	6	1D or 2D	48	3	12	2	R-3m	-3m	TRUE	0.5714	-0.823433817	0.000237347	R3m	FALSE	3m
mp-667	Tl2S	B2S	27	1D or 2D	216	27	108	2	R3	3	FALSE	0.5886	-0.344235158	0	R3	FALSE	3
mp-556516	Tl2S	B2S	27	1D or 2D	216	27	108	2	R3	3	FALSE	0.7668	-0.343662853	0.000572305	R3	FALSE	3
mp-29690	Tl2Te2O5	B2S2O5	36	1D or 2D	288	36	144	2	P2_1/c	2/m	FALSE	2.8109	-1.378072526	0	P2_1/c	FALSE	2/m
mp-866066	B2S3	B2S3	10	1D or 2D	80	5	20	2	R-3c	-3m	TRUE	1.524	-0.331466989	0.097546001	R32	FALSE	32
mp-29502	Al2Te3	B2S3	40	1D or 2D	320	20	80	2	P2_1/c	2/m	FALSE	1.8758	-0.45019222	0	P2_1	FALSE	2
mp-572670	B2S3	B2S3	40	1D or 2D	320	40	160	2	P2_1/c	2/m	FALSE	2.4293	-0.42901299	0	P2_1/c	FALSE	2/m
mp-558279	Tl2Te3O7	B2S3O7	24	1D or 2D	192	24	96	2	P-1	-1	TRUE	2.8048	-1.409539333	0.001346641	P-1	TRUE	-1
mp-9254	Al2Te5	B2S5	7	1D or 2D	56	7	28	2	C2/m	2/m	TRUE	1.0356	-0.326915987	0	C2/m	TRUE	2/m
mp-582549	In2Te5	B2S5	14	1D or 2D	112	7	28	2	P1	1	FALSE	1.0411	-0.234417484	0	P1	FALSE	1
mp-768235	B2TeO5	B2SO5	32	1D or 2D	256	32	128	2	C2/c	2/m	TRUE	3.3161	-2.262275044	0.062012755	P2_1/c	FALSE	2/m
mp-558338	Tl2CuAsO4	B2TAsO4	32	1D or 2D	256	32	128	2	P2_1/c	2/m	FALSE	1.5066	-1.327792799	0.006125281	P2_1/c	FALSE	2/m
mp-675275	Tl2CuF3	B2TF3	36	1D or 2D	288	30	120	2	P-1	-1	TRUE	1.7879	-1.464776356	0.086812913	P-1	TRUE	-1
mp-28361	Al2CdCl8	B2TF8	22	1D or 2D	176	22	88	2	Pc	m	FALSE	3.7673	-1.83782557	0	Pc	FALSE	m
mp-20793	Ga2FeS4	B2TS4	7	1D or 2D	56	7	28	2	P-3m1	-3m	TRUE	0.0036	-0.524977074	0.096235703	P-3m1	TRUE	-3m
mp-6959	Ga2NiS4	B2TS4	7	1D or 2D	56	7	28	2	P-3m1	-3m	TRUE	0.0282	-0.527223107	0.052735692	P-3m1	TRUE	-3m
mp-676518	In3SbTe2	B3AsS2	12	1D or 2D	96	12	48	2	P1	1	FALSE	0	-0.172177326	0.075265355	P1	FALSE	1
mp-568020	Tl3SiTe3	B3CS3	28	1D or 2D	224	28	112	2	P-1	-1	TRUE	1.0854	-0.273237907	0	P-1	TRUE	-1
mp-541885	In3Te4	B3S4	7	1D or 2D	56	7	28	2	R-3m	-3m	TRUE	0.0839	-0.28696366	0.034453808	R-3m	TRUE	-3m
mp-27195	In4Bi2S9	B4As2S9	30	1D or 2D	240	30	120	2	P2_1/m	2/m	FALSE	1.6314	-0.482854336	0.006080858	P2_1/m	FALSE	2/m
mp-2753	Tl4S3	B4S3	28	1D or 2D	224	28	112	2	P2_1/c	2/m	FALSE	0.8601	-0.285232146	0.009826561	P2_1/c	FALSE	2/m
mp-9622	Tl4SnS3	B4SnS3	32	1D or 2D	256	16	64	2	P4/ncc	4/mmm	TRUE	0.6794	-0.337638966	0.034136207	P42_12	FALSE	422
mp-23313	InBi	BAs	4	1D or 2D	32	4	16	2	P4/nmm	4/mmm	TRUE	0.1037	0.001448175	0.001910883	P4/nmm	TRUE	4/mmm
mp-570321	InSb2Se4Br	BAs2S4F	16	1D or 2D	128	16	64	2	P-1	-1	TRUE	1.1267	-0.42135685	0	P-1	TRUE	-1
mp-571169	InBi2Se4Br	BAs2S4F	16	1D or 2D	128	16	64	2	C2/m	2/m	TRUE	1.3163	-0.487957725	0.012303898	P2_1/m	FALSE	2/m
mp-556541	InSb2S4Cl	BAs2S4F	16	1D or 2D	128	16	64	2	P-1	-1	TRUE	1.5135	-0.54157234	0	P-1	TRUE	-1
mp-559864	InSb2S4Br	BAs2S4F	16	1D or 2D	128	16	64	2	C2/m	2/m	TRUE	1.522	-0.427070384	0	P2_1/m	FALSE	2/m
mp-30058	TlSbO3	BAsO3	10	1D or 2D	80	10	40	2	R-3	-3	TRUE	2.4341	-1.729391431	0	R-3	TRUE	-3
mp-557787	TlSbO3	BAsO3	20	1D or 2D	160	10	40	2	P-31c	-3m	TRUE	2.4363	-1.729189019	0.000202411	P-31m	TRUE	-3m
mp-755829	BSbO3	BAsO3	20	1D or 2D	160	10	40	2	P-1	-1	TRUE	3.6549	-2.243831415	0.046770557	P1	FALSE	1
mp-19885	InGaS3	BBS3	10	1D or 2D	80	10	40	2	Cmc2_1	mm2	FALSE	1.6761	-0.618777545	0.012421152	Pmn2_1	FALSE	mm2
mp-8211	GaGeTe	BCS	6	1D or 2D	48	6	24	2	R-3m	-3m	TRUE	0.3446	-0.239666407	0.005734614	R-3m	TRUE	-3m
mp-567931	InSiTe3	BCS3	10	1D or 2D	80	10	40	2	P-3	-3	TRUE	0.4618	-0.215774886	0	P-3	TRUE	-3
mp-31220	AlSiTe3	BCS3	10	1D or 2D	80	10	40	2	P-3	-3	TRUE	1.2504	-0.267819644	0	P-3	TRUE	-3
mp-9479	Mg(AlSe2)2	Be(BS2)2	7	1D or 2D	56	7	28	2	R3m	3m	FALSE	1.053	-0.958530038	0.001260777	R3m	FALSE	3m
mp-16755	Mg(AlS2)2	Be(BS2)2	7	1D or 2D	56	7	28	2	R-3m	-3m	TRUE	2.015	-1.166634427	0.02880161	R-3m	TRUE	-3m
mp-770718	Mg(IO3)2	Be(FO3)2	36	1D or 2D	288	18	72	2	P2_12_12_1	222	FALSE	3.1063	-1.371765432	0.045174832	P2_1	FALSE	2
mp-30247	Mg(HO)2	Be(HO)2	5	1D or 2D	40	5	20	2	P-3m1	-3m	TRUE	4.1797	-2.080549935	0	P-3m1	TRUE	-3m
mp-626143	Mg(HO)2	Be(HO)2	5	1D or 2D	40	5	20	2	C2	2	FALSE	4.1941	-2.071607385	0.00894255	C2	FALSE	2
mp-768770	Mg(ReO4)2	Be(TO4)2	33	1D or 2D	264	33	132	2	P31m	3m	FALSE	3.8744	-2.367091096	0.043061195	P31m	FALSE	3m
mp-754311	Mg(ReO4)2	Be(TO4)2	11	1D or 2D	88	11	44	2	P-3	-3	TRUE	3.9655	-2.410152291	0	P-3	TRUE	-3
mp-30244	Mg2H2O3	Be2H2O3	7	1D or 2D	56	7	28	2	P-3m1	-3m	TRUE	3.5667	-2.343334149	0.020088459	P-3m1	TRUE	-3m
mp-721158	Mg2P2H12O13	Be2N2H12O13	116	1D or 2D	928	58	232	2	P2_1/c	2/m	FALSE	5.0738	-1.99417231	0.006453763	P-1	TRUE	-1
mp-685613	Ba2PPd2	Be2NT2	20	1D or 2D	160	10	40	2	Pnma	mmm	TRUE	0.0522	-0.697404926	0.0607244	Pmc2_1	FALSE	mm2
mp-867724	Mg2PbO4	Be2SnO4	14	1D or 2D	112	7	28	2	P1	1	FALSE	1.3298	-2.227254832	0.094151874	P1	FALSE	1
mp-755856	Mg2SnO4	Be2SnO4	14	1D or 2D	112	7	28	2	Pbam	mmm	TRUE	2.6409	-2.618218126	0.071182334	P2/m	TRUE	2/m
mp-12693	Mg2Rh	Be2T	3	1D or 2D	24	3	12	2	I4/mmm	4/mmm	TRUE	0.009	-0.432788413	0	P4/mmm	TRUE	4/mmm
mp-770063	Mg2Mn3O8	Be2T3O8	13	1D or 2D	104	13	52	2	C2/m	2/m	TRUE	1.476	-2.252792124	0.002644838	P2/m	TRUE	2/m
mp-30243	Mg3(HO2)2	Be3(HO2)2	18	1D or 2D	144	9	36	2	P-3m1	-3m	TRUE	3.7709	-2.503407434	0.017166658	P3m1	FALSE	3m
mp-697180	Mg3In	Be3B	16	1D or 2D	128	4	16	2	R-3m	-3m	TRUE	0	-0.091187899	0.003737898	R3m	FALSE	3m
mp-23764	Mg3Si2H4O9	Be3C2H4O9	18	1D or 2D	144	18	72	2	P31m	3m	FALSE	4.2447	-2.638753015	0.000261263	P31m	FALSE	3m
mp-24097	Mg3Si2H4O9	Be3C2H4O9	36	1D or 2D	288	18	72	2	P6_3cm	6mm	FALSE	4.2476	-2.639014278	0	P31m	FALSE	3m
mp-696497	Mg3Si4(HO6)2	Be3C4(HO6)2	21	1D or 2D	168	21	84	2	P-1	-1	TRUE	5.1766	-3.005427871	0	P-1	TRUE	-1
mp-30245	Mg3H4O5	Be3H4O5	12	1D or 2D	96	7	28	2	P-3m1	-3m	TRUE	3.5652	-2.231223176	0.014335818	P-3m1	TRUE	-3m
mp-24638	Mg3P2(HO)16	Be3N2(HO)16	37	1D or 2D	296	37	148	2	C2/m	2/m	TRUE	4.9866	-1.967597882	0.018182037	P2/m	TRUE	2/m
mp-766572	Mg3P2(HO)16	Be3N2(HO)16	74	1D or 2D	592	37	148	2	C2/c	2/m	TRUE	5.2584	-1.972089153	0.013690766	P2	FALSE	2
mp-30739	Mg3Ir	Be3T	8	1D or 2D	64	4	16	2	P6_3/mmc	6/mmm	TRUE	0.0369	-0.325600948	0.015393057	P-6m2	FALSE	-6m2
mp-30242	Mg4H2O5	Be4H2O5	11	1D or 2D	88	11	44	2	P-3m1	-3m	TRUE	4.0065	-2.606870829	0.013708754	P-3m1	TRUE	-3m
mp-30241	Mg5(HO3)2	Be5(HO3)2	13	1D or 2D	104	13	52	2	P-3m1	-3m	TRUE	3.8709	-2.674752837	0.015061315	P-3m1	TRUE	-3m
mp-570849	Mg5Tl2	Be5B2	14	1D or 2D	112	14	56	2	P-1	-1	TRUE	0	-0.02911994	0.01024189	P-1	TRUE	-1
mp-697921	Mg5H8O9	Be5H8O9	22	1D or 2D	176	7	28	2	P-3m1	-3m	TRUE	3.5747	-2.161762776	0.0087921	P-3m1	TRUE	-3m
mp-554686	MgAs2(XeF9)2	BeAs2(HeF9)2	92	1D or 2D	736	92	368	2	P2_1/c	2/m	FALSE	2.6712	-1.723696716	0	P2_1/c	FALSE	2/m
mp-21032	BaIn2Pt	BeB2T	8	1D or 2D	64	8	32	2	Cmcm	mmm	TRUE	0.0035	-0.643545195	0	Pmmn	TRUE	mmm
mp-11078	BaIn2Rh	BeB2T	8	1D or 2D	64	8	32	2	Cmcm	mmm	TRUE	0.013	-0.475736863	0	Pmmn	TRUE	mmm
mp-30034	MgBr2	BeF2	3	1D or 2D	24	3	12	2	P-3m1	-3m	TRUE	4.4707	-1.51586621	0	P-3m1	TRUE	-3m
mp-570922	MgCl2	BeF2	3	1D or 2D	24	3	12	2	P-4m2	-42m	FALSE	4.906	-2.168903974	0.085674963	P-4m2	FALSE	-42m
mp-570259	MgCl2	BeF2	3	1D or 2D	24	3	12	2	P-3m1	-3m	TRUE	5.5713	-2.252981554	0.001597383	P-3m1	TRUE	-3m
mp-23210	MgCl2	BeF2	3	1D or 2D	24	3	12	2	R-3m	-3m	TRUE	5.6168	-2.254578937	0	R-3m	TRUE	-3m
mp-754645	MgCl2O	BeF2O	16	1D or 2D	128	16	64	2	P2_1/c	2/m	FALSE	2.5919	-1.740696056	0.087814238	P2_1/c	FALSE	2/m
mp-698365	MgH10C4(N2O3)2	BeH10C4(N2O3)2	200	1D or 2D	1600	100	400	2	C2/c	2/m	TRUE	4.785	-1.124279161	0.043618232	P-1	TRUE	-1
mp-864887	MgH4(NO4)2	BeH4(NO4)2	30	1D or 2D	240	30	120	2	P2_1/c	2/m	FALSE	3.5436	-1.424130122	0.004715626	P2_1/c	FALSE	2/m
mp-556127	MgH6(CO3)2	BeH6(CO3)2	60	1D or 2D	480	30	120	2	Pbca	mmm	TRUE	4.9673	-1.572474369	0.083479764	P2_1/c	FALSE	2/m
mp-23734	MgP(HO)7	BeN(HO)7	128	1D or 2D	1024	64	256	2	Pbca	mmm	TRUE	5.2566	-1.939159095	0.004298924	Pca2_1	FALSE	mm2
mp-778080	BaY3F11	BeT3F11	30	1D or 2D	240	26	104	2	Pmma	mmm	TRUE	5.8515	-4.00656635	0.068309147	Pmma	TRUE	mmm
mp-754008	BaCuO2	BeTO2	16	1D or 2D	128	8	32	2	P2_1	2	FALSE	0	-1.889896509	0.087065928	P1	FALSE	1
mp-570219	InBr3	BF3	8	1D or 2D	64	8	32	2	C2/m	2/m	TRUE	2.489	-0.854227382	0	C2/m	TRUE	2/m
mp-25469	AlCl3	BF3	8	1D or 2D	64	8	32	2	C2/m	2/m	TRUE	5.263	-1.949739584	0	C2/m	TRUE	2/m
mp-27702	InClO	BFO	6	1D or 2D	48	6	24	2	Pmmn	mmm	TRUE	2.3645	-1.828623417	0	Pmmn	TRUE	mmm
mp-27703	InBrO	BFO	6	1D or 2D	48	6	24	2	Pmmn	mmm	TRUE	2.446	-1.514412605	0	Pmmn	TRUE	mmm
mp-27863	AlClO	BFO	6	1D or 2D	48	6	24	2	Pmmn	mmm	TRUE	5.5876	-2.78635247	0	Pmmn	TRUE	mmm
mp-643759	GaH3NF3	BH3NF3	16	1D or 2D	128	16	64	2	Aem2	mm2	FALSE	5.3017	-1.665766936	0	Pma2	FALSE	mm2
mp-699431	AlH4(SeO4)2	BH4(SO4)2	30	1D or 2D	240	30	120	2	P2_1/c	2/m	FALSE	0.0146	-1.596318299	0.049916823	P2_1/c	FALSE	2/m
mp-733932	InH5(NF)2	BH5(NF)2	40	1D or 2D	320	40	160	2	P2_1/c	2/m	FALSE	3.5032	-1.129442902	0	P2_1/c	FALSE	2/m
mp-867675	GaHO2	BHO2	16	1D or 2D	128	8	32	2	Pnma	mmm	TRUE	2.8219	-1.883179318	0.066425	Pmn2_1	FALSE	mm2
mp-625055	AlHO2	BHO2	8	1D or 2D	64	8	32	2	P2_1/m	2/m	FALSE	4.6632	-2.647185103	0.048791781	P2_1/m	FALSE	2/m
mp-625420	AlHO2	BHO2	16	1D or 2D	128	8	32	2	Pna2_1	mm2	FALSE	4.8339	-2.668012089	0.027964795	P2_1	FALSE	2
mp-625056	AlHO2	BHO2	8	1D or 2D	64	8	32	2	Cmc2_1	mm2	FALSE	5.1403	-2.695976884	0	Pmn2_1	FALSE	mm2
mp-626902	AlHO2	BHO2	8	1D or 2D	64	8	32	2	P1	1	FALSE	5.1426	-2.69445786	0.001519024	P1	FALSE	1
mp-625054	AlHO2	BHO2	8	1D or 2D	64	8	32	2	Cmc2_1	mm2	FALSE	5.2376	-2.695965472	1.14E-05	Pmn2_1	FALSE	mm2
mp-722202	BHO2	BHO2	48	1D or 2D	384	24	96	2	Pnma	mmm	TRUE	5.6977	-2.257737784	0.048427004	Pmc2_1	FALSE	mm2
mp-685145	BN	BN	2	1D or 2D	16	2	8	2	Cm	m	FALSE	2.9402	-1.40309996	0.068449488	Pm	FALSE	m
mp-629015	BN	BN	4	1D or 2D	32	2	8	2	P6_3mc	6mm	FALSE	3.9689	-1.468431685	0.003117763	P3m1	FALSE	3m
mp-7991	BN	BN	4	1D or 2D	32	2	8	2	P6_3/mmc	6/mmm	TRUE	4.1611	-1.46986906	0.001680388	P-6m2	FALSE	-6m2
mp-13150	BN	BN	2	1D or 2D	16	2	8	2	R3m	3m	FALSE	4.3877	-1.468138215	0.003411233	R3m	FALSE	3m
mp-604884	BN	BN	4	1D or 2D	32	2	8	2	P-6m2	-6m2	FALSE	4.4189	-1.467174237	0.00437521	P-6m2	FALSE	-6m2
mp-984	BN	BN	4	1D or 2D	32	2	8	2	P6_3/mmc	6/mmm	TRUE	4.4806	-1.471549447	0	P-6m2	FALSE	-6m2
mp-721876	AlP2H5O9	BN2H5O9	68	1D or 2D	544	68	272	2	P2_1/c	2/m	FALSE	5.5286	-2.254861889	0.016018643	P2_1/c	FALSE	2/m
mp-606312	InP3(HO5)2	BN3(HO5)2	64	1D or 2D	512	64	256	2	P2_1/c	2/m	FALSE	3.9704	-2.283208654	0.071270756	P2_1/c	FALSE	2/m
mp-30979	GaPS4	BNS4	24	1D or 2D	192	24	96	2	P2_1/c	2/m	FALSE	2.3218	-0.417494924	0	P2_1/c	FALSE	2/m
mp-20485	InSe	BS	8	1D or 2D	64	4	16	2	P6_3/mmc	6/mmm	TRUE	0.4559	-0.526755436	0.001453409	P-6m2	FALSE	-6m2
mp-22691	InSe	BS	4	1D or 2D	32	4	16	2	R3m	3m	FALSE	0.5365	-0.528208844	0	R3m	FALSE	3m
mp-10009	GaTe	BS	8	1D or 2D	64	4	16	2	P6_3/mmc	6/mmm	TRUE	0.7804	-0.363964763	0.004136768	P-6m2	FALSE	-6m2
mp-542812	GaTe	BS	12	1D or 2D	96	12	48	2	C2/m	2/m	TRUE	1.0066	-0.368101531	0	C2/m	TRUE	2/m
mp-21405	InSe	BS	8	1D or 2D	64	8	32	2	C2/m	2/m	TRUE	1.0796	-0.492637492	0.035571353	C2/m	TRUE	2/m
mp-568263	GaSe	BS	16	1D or 2D	128	4	16	2	P6_3mc	6mm	FALSE	1.2081	-0.590946989	0.000852373	P-6m2	FALSE	-6m2
mp-11342	GaSe	BS	4	1D or 2D	32	4	16	2	R3m	3m	FALSE	1.2233	-0.591394524	0.000404838	R3m	FALSE	3m
mp-1943	GaSe	BS	8	1D or 2D	64	4	16	2	P6_3/mmc	6/mmm	TRUE	1.2354	-0.591799362	0	P-6m2	FALSE	-6m2
mp-1572	GaSe	BS	8	1D or 2D	64	4	16	2	P-6m2	-6m2	FALSE	1.2406	-0.591793763	5.60E-06	P-6m2	FALSE	-6m2
mp-9889	GaS	BS	4	1D or 2D	32	4	16	2	R-3m	-3m	TRUE	1.8596	-0.647622297	0.005135773	R-3m	TRUE	-3m
mp-2507	GaS	BS	8	1D or 2D	64	4	16	2	P6_3/mmc	6/mmm	TRUE	1.8818	-0.65275807	0	P-6m2	FALSE	-6m2
mp-556742	GaS	BS	8	1D or 2D	64	4	16	2	P6_3/mmc	6/mmm	TRUE	2.0123	-0.651556632	0.001201438	P-6m2	FALSE	-6m2
mp-9251	TlTe3Pt2	BS3T2	12	1D or 2D	96	12	48	2	P-3m1	-3m	TRUE	0.2318	-0.433563264	0	P-3m1	TRUE	-3m
mp-29234	InTeI	BSF	12	1D or 2D	96	12	48	2	P2_1/c	2/m	FALSE	1.5625	-0.444293204	0	P2_1/c	FALSE	2/m
mp-29236	InTeBr	BSF	12	1D or 2D	96	12	48	2	P2_1/c	2/m	FALSE	1.5714	-0.587524176	0	P2_1/c	FALSE	2/m
mp-504630	InTeCl	BSF	24	1D or 2D	192	24	96	2	P2_1/c	2/m	FALSE	1.6598	-0.873091874	0	P2_1/c	FALSE	2/m
mp-27449	GaTeCl	BSF	12	1D or 2D	96	6	24	2	Pnnm	mmm	TRUE	2.1702	-0.915888055	0	Pmn2_1	FALSE	mm2
mp-557992	InTeClO3	BSFO3	24	1D or 2D	192	24	96	2	P2_1/c	2/m	FALSE	3.0723	-1.689349965	0	P2_1/c	FALSE	2/m
mp-510727	InTeO3F	BSO3F	24	1D or 2D	192	24	96	2	P2_1/c	2/m	FALSE	3.1764	-1.928487869	0	P2_1/c	FALSE	2/m
mp-22449	InCu(PSe3)2	BT(NS3)2	20	1D or 2D	160	10	40	2	P-31c	-3m	TRUE	0.1149	-0.201854435	0.016714127	P312	FALSE	32
mp-20902	InAg(PSe3)2	BT(NS3)2	20	1D or 2D	160	10	40	2	P-31c	-3m	TRUE	0.6041	-0.229828587	0	P312	FALSE	32
mp-7008	GaAg(PSe3)2	BT(NS3)2	20	1D or 2D	160	10	40	2	P-31c	-3m	TRUE	0.6648	-0.209402821	0.015198223	P312	FALSE	32
mp-22661	InAg(PS3)2	BT(NS3)2	20	1D or 2D	160	10	40	2	P-31c	-3m	TRUE	1.1379	-0.321189863	0	P312	FALSE	32
mp-654129	GaAg(PSe3)2	BT(NS3)2	80	1D or 2D	640	40	160	2	Pbca	mmm	TRUE	1.4987	-0.224601044	0	P2_1/c	FALSE	2/m
mp-7038	TlPd2Se3	BT2S3	12	1D or 2D	96	12	48	2	P-3m1	-3m	TRUE	0.1129	-0.394248553	0	P-3m1	TRUE	-3m
mp-541487	TlPt2Se3	BT2S3	12	1D or 2D	96	12	48	2	P-3m1	-3m	TRUE	0.4569	-0.446309652	0	P-3m1	TRUE	-3m
mp-9272	TlPt2S3	BT2S3	12	1D or 2D	96	12	48	2	P-3m1	-3m	TRUE	1.0242	-0.447027436	0	P-3m1	TRUE	-3m
mp-13829	TlCu3S2	BT3S2	12	1D or 2D	96	12	48	2	C2/m	2/m	TRUE	0.4071	-0.214929811	0	C2/m	TRUE	2/m
mp-27393	AlPd5I2	BT5F2	8	1D or 2D	64	8	32	2	I4/mmm	4/mmm	TRUE	0	-0.431101346	0.000396253	P4/mmm	TRUE	4/mmm
mp-541202	TlCuAsO4	BTAsO4	28	1D or 2D	224	14	56	2	C2/c	2/m	TRUE	0.1156	-1.40110181	0	C2	FALSE	2
mp-690725	TlCuHSO5	BTHSO5	18	1D or 2D	144	18	72	2	P2_1/m	2/m	FALSE	0.332	-1.497083595	0.01080161	P2_1/m	FALSE	2/m
mp-541201	TlCuPO4	BTNO4	28	1D or 2D	224	14	56	2	C2/c	2/m	TRUE	0.021	-1.929162926	0	C2	FALSE	2
mp-569129	TlCuPSe3	BTNS3	24	1D or 2D	192	24	96	2	P2_1/c	2/m	FALSE	1.4855	-0.245293622	0	P2_1/c	FALSE	2/m
mp-48	C	C	4	1D or 2D	32	2	8	2	P6_3/mmc	6/mmm	TRUE	0	0.002697036	0.002697036	P6/mmm	TRUE	6/mmm
mp-568806	C	C	8	1D or 2D	64	8	32	2	Cmmm	mmm	TRUE	0	0.006174733	0.006174733	Cmmm	TRUE	mmm
mp-569304	C	C	4	1D or 2D	32	2	8	2	R-3m	-3m	TRUE	0.0001	0.029940296	0.029940296	R-3m	TRUE	-3m
mp-606949	C	C	12	1D or 2D	96	2	8	2	Cmc2_1	mm2	FALSE	0.0011	0.003575075	0.003575075	Cmmm	TRUE	mmm
